 Produto interno bruto per capita - 2010 a 2013, referência 2010 - Brasil
PIB per capita por Município
Período:2010
"Município";"PIB_per_capita"
"170825 FORTALEZA DO TABOCAO";24435,88
"170830 GOIANORTE";6790,12
"170900 GOIATINS";6402,35
"170930 GUARAI";11789,23
"170950 GURUPI";16035,48
"170980 IPUEIRAS";9478,63
"171050 ITACAJA";6954,51
"171070 ITAGUATINS";5497,74
"171090 ITAPIRATINS";8398,22
"171110 ITAPORA DO TOCANTINS";9182,37
"171150 JAU DO TOCANTINS";7670,76
"171180 JUARINA";6664,88
"171190 LAGOA DA CONFUSAO";16660,62
"171195 LAGOA DO TOCANTINS";5047,29
"171200 LAJEADO";10470,43
"171215 LAVANDEIRA";18537,12
"171240 LIZARDA";4847,19
"171245 LUZINOPOLIS";7767,18
"171250 MARIANOPOLIS DO TOCANTINS";7872,40
"171270 MATEIROS";22200,16
"171280 MAURILANDIA DO TOCANTINS";5385,26
"171320 MIRACEMA DO TOCANTINS";19793,59
"171330 MIRANORTE";8647,78
"171360 MONTE DO CARMO";8085,92
"171370 MONTE SANTO DO TOCANTINS";7424,71
"171380 PALMEIRAS DO TOCANTINS";7752,91
"171395 MURICILANDIA";7832,47
"171420 NATIVIDADE";7380,83
"171430 NAZARE";5458,98
"171488 NOVA OLINDA";13681,14
"171500 NOVA ROSALANDIA";6076,21
"171510 NOVO ACORDO";5668,80
"171515 NOVO ALEGRE";6522,90
"171525 NOVO JARDIM";21834,56
"171550 OLIVEIRA DE FATIMA";10862,41
"171570 PALMEIRANTE";6651,29
"171575 PALMEIROPOLIS";8161,35
"171610 PARAISO DO TOCANTINS";12776,28
"171620 PARANA";17353,15
"171630 PAU D'ARCO";8098,61
"171650 PEDRO AFONSO";15115,67
"171660 PEIXE";41421,34
"171665 PEQUIZEIRO";6964,00
"171670 COLMEIA";7675,15
"171700 PINDORAMA DO TOCANTINS";6064,70
"171720 PIRAQUE";7850,11
"171750 PIUM";8715,92
"171780 PONTE ALTA DO BOM JESUS";4941,35
"171790 PONTE ALTA DO TOCANTINS";5845,17
"171800 PORTO ALEGRE DO TOCANTINS";5756,84
"171820 PORTO NACIONAL";11168,50
"171830 PRAIA NORTE";6403,51
"171840 PRESIDENTE KENNEDY";10888,48
"171845 PUGMIL";19297,28
"171850 RECURSOLANDIA";5579,50
"171855 RIACHINHO";5754,21
"171865 RIO DA CONCEICAO";6925,43
"171870 RIO DOS BOIS";10068,38
